company,industry sector,retained_earnings,revenue,ebit,current_assets,current_liabilities,total_assets,total_liabilities,working_capital,market_value_equity,latest credit rating (if applicable),sector,trade_credit,utility_pay,bank_tx,tax_compliance,digital_footprint,fcf_vol_ratio,cf_int_cov,revenue_quality,business_age_years,mgmt_track_record,industry_survival_rate,geo_risk,Country,Country Rating,X1,X2,X3,X4,X5,Z_raw,alt_adj,cf_adj,qual_adj,scale_pen,lev_pen,Z_adj,PD_model,PD_final,Rating
BENGAL STEEL INDUSTRIES LTD,Real Estate Management & Development,51086000,67434,1634000,24661000,8164000,108646000,8164000,16497000,245000.0,,Real Estate,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.1518417613165694,0.470205990096276,0.015039670121311416,0.030009799118079373,0.000620676324945235,0.41945954191129775,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,-0.8275078725893781,0.011489803564045168,0.035420411603820326,BB-
PRIME PROPERTY DEVELOPMENT,Real Estate Management & Development,720040000,923888,20055000,781718016,153848992,975372992,170478000,627868992,630305901.0,,Real Estate,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.6437219372996541,0.7382201536291872,0.020561364897829774,3.6972858726639215,0.0009472150731850488,2.067132595742268,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,0.820165181241592,0.009613697118031074,0.034576163703113984,BB-
AMJ LAND HOLDINGS LTD,Real Estate Management & Development,2189543936,9185971,243064000,1261112064,311257984,2694429952,414071008,949854016,2590789944.0,,Real Estate,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.35252503606373214,0.8126186150709773,0.09020980479361893,6.25687356502873,0.0034092446876124987,2.8879442120479846,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,2.6409767975473084,0.007540448179240732,0.03364320168065833,BB-
SHREE KRISHNA INFRASTRUCTURE,Real Estate Management & Development,9024700,94118,3800,35848600,601900,119626600,601900,35246700,615890018.0,,Real Estate,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.29463931934870674,0.0754405792691592,3.1765510346361096e-05,10.0,0.0007867648165207404,3.2751164540327986,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,2.0281490395321224,0.008238238377627143,0.03395720726993222,BB-
INFOLLION RESEARCH SERVICES,Professional Services,85436000,4362643,67770000,178982000,18417000,180055008,19950000,160564992,4703516150.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.8917552129402588,0.47449943741637,0.3763849767511049,10.0,0.02422950102004383,5.316460309729346,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,4.069492895228671,0.0009879103084364006,0.023544559638796383,BB
IMEC SERVICES LTD,Professional Services,251571008,3339154,248934000,312544992,43412000,314158016,43587000,269132992,157320006.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.8566803273929512,0.8007785737989891,0.7923846832544296,3.6093331956776105,0.010628899566261585,4.963137698040165,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,3.7161702835394896,0.0009957894026770694,0.023548105231204684,BB
CORAL LABORATORIES LTD,Pharmaceuticals,1976332032,13605827,242288000,1765449984,249575008,2294642944,282584992,1515874944,2110334864.0,,Healthcare,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.6606147365818671,0.8612808529395325,0.10558854075032947,7.4679651210917815,0.005929387417583343,3.580940419524114,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,3.333973005023439,0.0011717163914314692,0.015927272376144164,BB+
PAR DRUGS AND CHEMICALS LTD,Pharmaceuticals,733273984,11945779,193814000,596236032,124391000,1016110976,159791008,471844992,1217543695.0,,Healthcare,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.4643636405321145,0.7216475378374418,0.19074097670213533,7.619600816336298,0.01175637236694902,3.7093010894366736,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,3.462333674935998,0.0011279827559462312,0.015907592240175808,BB+
JENBURKT PHARMACEUTICALS,Pharmaceuticals,1673638016,17946027,376646016,565315008,188192992,1961859968,244088992,377121984,5589444450.0,,Healthcare,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.19222675937694653,0.8530873983356594,0.19198414878915557,10.0,0.00914745562513053,4.270564538681692,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,4.023597124181017,0.0009367552474174097,0.015821539861337837,BB+
DENIS CHEM LAB LTD,Pharmaceuticals,712275008,20502409,92473000,706446976,261724992,1122723968,271681984,444721984,1489660289.0,,Healthcare,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.396109815658625,0.6344168542770434,0.08236485782407381,5.483102953930136,0.01826130873158664,2.603826785691894,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,2.3568593711912182,0.0015046278005008112,0.01607708251022537,BB+
BDH INDUSTRIES LTD,Pharmaceuticals,630044032,7868337,107013000,667484992,169168000,869380992,181764000,498316992,1519351435.0,,Healthcare,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.5731859755222254,0.7247041720461264,0.1230910279667122,8.35892385180784,0.00905050498274524,3.777497629832178,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,3.5305302153315026,0.001104747580864619,0.01589713641138908,BB+
TYCHE INDUSTRIES LTD,Pharmaceuticals,1264551936,7745654,93002000,1209416960,96246000,1474072064,107067000,1113170944,1433974937.0,,Healthcare,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.7551672480511781,0.8578630359282082,0.06309189507847562,10.0,0.005254596562247855,4.264396142304207,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,4.017428727803532,0.0009388568755787864,0.015822485594010456,BB+
ZENITH HEALTH CARE LTD,Pharmaceuticals,20322000,1340372,-1402000,83493000,34480000,108778000,34717000,49013000,240750721.0,,Healthcare,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.45057824192391843,0.18682086451304492,-0.012888635569692402,6.934663738226229,0.01232208718674732,2.513806097143097,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,1.2668386826424207,0.0018760076592755836,0.016244203446674016,BB+
TIMBERWELL BERHAD,Paper & Forest Products,-37937000,4822981,15000,9265000,2830000,73415000,9972000,6435000,28941470.0,,Materials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,Malaysia,A-,0.08765238711434993,-0.516747258734591,0.00020431791868146836,2.9022733654231847,0.06569476265068447,0.814534927967894,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,-0.43243248653278177,0.0035787988231964834,0.005934099117397363,BBB+
INTERRA RESOURCES LTD,"Oil, Gas & Consumable Fuels",-28854176,17121000,3633000,25153940,5469767,54234976,6435931,19684172,,,Energy,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.36294239348423424,-0.5320215500786799,0.06698629312567594,,0.31568189501918464,,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,,0.0,0.022000000000000002,BB
GUJARAT INTRUX LTD,Metals & Mining,632908992,7730557,124734000,571747968,36963000,724718976,57457000,534784992,1705798173.0,,Materials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.7379205039609726,0.8733164343139815,0.17211361111096393,10.0,0.010666971965696121,4.650726203145535,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,4.4037587886448595,5.558028112554467e-05,0.026425011126506498,BB
CREATIVE CASTINGS LTD,Metals & Mining,406708992,5147912,42289000,369969984,46743000,477187008,57478000,323227008,788710016.0,,Materials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.6773591958312495,0.8523052496852555,0.08862144042278704,10.0,0.010788038889776311,4.299791100766935,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,4.05282368626626,0.00031124036349448056,0.02654005816357252,BB
EL FORGE LTD,Metals & Mining,-204842000,9006595,36107000,148648000,107854000,379550016,154752000,40794000,460548726.0,,Materials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.1074799058893993,-0.5396969868656256,0.0951310722642678,2.976043773263027,0.023729665710249898,1.089366647603052,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,0.8423992331023762,0.0026500698922933548,0.027592531451532013,BB
SMITHS & FOUNDERS INDIA LTD,Metals & Mining,96845000,1563474,14697100,32587500,10382700,223011696,24170200,22204800,611979150.0,,Materials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.09956787199179007,0.43425973496923675,0.06590282152735163,10.0,0.007010726468803681,3.5414654933613887,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,2.2944980788607134,0.0015921999100711026,0.027116489959532,BB
METAL COATINGS INDIA LTD,Metals & Mining,348428000,18958574,47041000,462264992,97693000,530625984,108930000,364572000,531193000.0,,Materials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.6870602100028331,0.6566357670113645,0.08865189685094653,4.876461948040026,0.0357286951104151,2.7226436651191,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,2.475676250618424,0.0014602096189857213,0.027057094328543578,BB
LYSAGHT GALVANIZED STEEL BHD,Metals & Mining,129491000,20002732,10437000,141430000,6908000,179670000,8599000,134522000,103950000.0,,Materials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,Malaysia,A-,0.7487170924472645,0.720715756664997,0.05808983135748873,10.0,0.11133039461234485,4.38530675126621,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,4.138339336765535,0.0002489412714336034,0.0045000000000000005,A-
OMAN CHROMITE,Metals & Mining,2928812,13848304,1054855,2320572,790476,7155150,926338,1530096,13143900.0,,Materials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,Oman,BB,0.21384541204586907,0.40932922440479935,0.1474259798886117,10.0,1.9354316820751487,7.762595235599534,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,7.515627821098858,0.0,0.025,BB
GANDHI SPECIAL TUBES LTD,Metals & Mining,2596602880,20412155,650339008,772585984,98876000,2859891968,202528992,673710016,8753085452.0,,Materials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.23557184101298193,0.9079374008018474,0.22739985121004402,10.0,0.0071373867364209476,4.4526004259193055,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,4.20563301141863,0.00019991708921840217,0.026489962690148285,BB
SARTHAK METALS LTD,Metals & Mining,980585984,21108184,178232992,1042412992,26109000,1199314944,38439000,1016304000,1724908500.0,,Materials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.8474037658618552,0.817621750571633,0.14861233314207747,10.0,0.0176002009360437,4.6420774558446585,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,4.395110041343983,6.188098867045307e-05,0.026427846444901707,BB
SYNTHIKO FOILS LTD,Metals & Mining,53938000,2503345,4092000,59757000,5063000,70168000,7530000,54694000,370272000.0,,Materials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.7794721240451488,0.7686979819860905,0.05831718162125185,10.0,0.03567644795348307,4.283389721810512,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,3.036422307309837,0.0010516999484794032,0.026873264976815733,BB
EXHICON EVENTS MEDIA SOLUTIO,Media,991110016,16978367,358304000,849852992,192224000,1425810048,195518000,657628992,5461749454.0,,Communication Services,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.4612318400494257,0.6951206560721334,0.2512985516567211,10.0,0.011907874421151505,4.619906479716434,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,4.372939065215759,0.0017021725059229178,0.025515977627665314,BB
CHOWGULE STEAMSHIPS LTD,Marine Transportation,82063000,459312,-8897000,182344992,70890000,533601984,88455000,111455000,945834444.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.20887291153700058,0.15379065756996885,-0.016673476236550126,10.0,0.0008607764097069025,3.187358044006073,0.1200000000000001,0.4330325854993241,-0.8,-1.0,0.0,1.940390629505397,0.0010353892889620295,0.023565925180032917,BB
EMKAY TAPS & CUTTING TOOLS L,Machinery,2840314880,12500099,454892992,685164032,379480000,3374414080,385344992,305684000,2657153700.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.09058876378325212,0.8417209069966897,0.13480651195006868,6.895518963952177,0.0037043761386865715,3.041218697813213,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,2.794251283312537,0.0010163481963821304,0.02355735668837196,BB
VELJAN DENISON LTD,Machinery,2212758016,18420187,307976992,1694804992,347380992,2675355904,417598016,1347424000,6080625000.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.5036428977488298,0.827089215566289,0.11511626977911048,10.0,0.006885135159946181,4.233136140528988,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,3.9861687260283123,0.0009897684374095687,0.023545395796834307,BB
JASCH GAUGING TECHNOLOGIES L,Machinery,844816000,6238316,146447008,913048000,102304000,1003139968,113004000,810744000,2538373089.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.8082062582118151,0.8421716081000573,0.14598860844113032,10.0,0.006218789200910396,4.591048518565258,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,4.344081104064583,0.0009817869913793598,0.023541804146120716,BB
AUSTIN ENGINEERING CO LTD,Machinery,620995008,12619699,29704000,806448000,242898000,981984000,326211008,563550016,519583299.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.5738892038974158,0.6323881122299345,0.0302489653599244,1.5927828499276149,0.012851226700231368,1.3847141063713826,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,1.1377466918707067,0.0010532882487712832,0.02357397971194708,BB
EPB GROUP BHD,Machinery,33752400,23111563,13673745,118348456,27562056,134409280,31778950,90786400,202740007.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,Malaysia,A-,0.675447409583624,0.2511165895688155,0.1017321497444224,6.379694955308467,0.1719491615459885,3.2797855562413027,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,3.032818141740627,0.001011028155439184,0.0045000000000000005,A-
SHILP GRAVURES LTD,Machinery,929713024,10826841,16745000,597206016,114692000,1164360960,173150000,482513984,1707799535.0,,Industrials,0.6,0.5,0.4,0.7,0.6,0.2,1.5,0.5,4,0.5,0.6,0.4,India,BBB-,0.4144024066213969,0.798474919667523,0.014381279152471756,9.863121773029166,0.009298526292052939,3.7586274466573855,0.1200000000000001,0.4330325854993241,-0.8,0.0,0.0,3.51166003215671,0.0010003499812829054,0.02355015749157731,BB
